"","Yr","Area","River","Escapement","Returns","Recruits","Expl","Survival","EO","Popn","Population"
"5050",1967,12,"SKEENE RIVER",NA,NA,NA,0.66,NA,"O","149","SKEENE RIVER O"
"5051",1968,12,"SKEENE RIVER",NA,NA,NA,0.71,NA,"E","150","SKEENE RIVER E"
"5052",1969,12,"SKEENE RIVER",NA,NA,NA,0.33,NA,"O","149","SKEENE RIVER O"
"5053",1970,12,"SKEENE RIVER",NA,NA,NA,0.67,NA,"E","150","SKEENE RIVER E"
"5054",1971,12,"SKEENE RIVER",NA,NA,NA,0.39,NA,"O","149","SKEENE RIVER O"
"5055",1972,12,"SKEENE RIVER",NA,NA,NA,0.51,NA,"E","150","SKEENE RIVER E"
"5056",1973,12,"SKEENE RIVER",NA,NA,NA,0.45,NA,"O","149","SKEENE RIVER O"
"5057",1974,12,"SKEENE RIVER",NA,NA,NA,0.57,NA,"E","150","SKEENE RIVER E"
"5058",1975,12,"SKEENE RIVER",NA,NA,NA,0.3,NA,"O","149","SKEENE RIVER O"
"5059",1976,12,"SKEENE RIVER",NA,NA,NA,0.69,NA,"E","150","SKEENE RIVER E"
"5060",1977,12,"SKEENE RIVER",NA,NA,NA,0.59,NA,"O","149","SKEENE RIVER O"
"5061",1978,12,"SKEENE RIVER",NA,NA,NA,0.54,NA,"E","150","SKEENE RIVER E"
"5062",1979,12,"SKEENE RIVER",NA,NA,NA,0.57,NA,"O","149","SKEENE RIVER O"
"5063",1980,12,"SKEENE RIVER",NA,NA,NA,0.45,NA,"E","150","SKEENE RIVER E"
"5064",1981,12,"SKEENE RIVER",NA,NA,NA,0.42,NA,"O","149","SKEENE RIVER O"
"5065",1982,12,"SKEENE RIVER",NA,NA,NA,0.25,NA,"E","150","SKEENE RIVER E"
"5066",1983,12,"SKEENE RIVER",NA,NA,NA,0.43,NA,"O","149","SKEENE RIVER O"
"5067",1984,12,"SKEENE RIVER",NA,NA,NA,0.38,NA,"E","150","SKEENE RIVER E"
"5068",1985,12,"SKEENE RIVER",NA,NA,NA,0.5,NA,"O","149","SKEENE RIVER O"
"5069",1986,12,"SKEENE RIVER",NA,NA,NA,0.26,NA,"E","150","SKEENE RIVER E"
"5070",1987,12,"SKEENE RIVER",NA,NA,NA,0.44,NA,"O","149","SKEENE RIVER O"
"5071",1988,12,"SKEENE RIVER",NA,NA,NA,0.26,NA,"E","150","SKEENE RIVER E"
"5072",1989,12,"SKEENE RIVER",NA,NA,NA,0.68,NA,"O","149","SKEENE RIVER O"
"5073",1990,12,"SKEENE RIVER",NA,NA,NA,0.11,NA,"E","150","SKEENE RIVER E"
"5074",1991,12,"SKEENE RIVER",NA,NA,NA,0.48,NA,"O","149","SKEENE RIVER O"
"5075",1992,12,"SKEENE RIVER",NA,NA,NA,0.27,NA,"E","150","SKEENE RIVER E"
"5076",1993,12,"SKEENE RIVER",NA,NA,NA,0.46,NA,"O","149","SKEENE RIVER O"
"5077",1994,12,"SKEENE RIVER",NA,NA,NA,0.14,NA,"E","150","SKEENE RIVER E"
"5078",1995,12,"SKEENE RIVER",NA,NA,NA,0.46,NA,"O","149","SKEENE RIVER O"
"5079",1996,12,"SKEENE RIVER",NA,NA,NA,0.03,NA,"E","150","SKEENE RIVER E"
"5080",1997,12,"SKEENE RIVER",NA,NA,NA,0.35,NA,"O","149","SKEENE RIVER O"
"5081",1998,12,"SKEENE RIVER",NA,NA,NA,0.05,NA,"E","150","SKEENE RIVER E"
"5082",1999,12,"SKEENE RIVER",NA,NA,NA,0.01,NA,"O","149","SKEENE RIVER O"
"5083",2000,12,"SKEENE RIVER",NA,NA,NA,0.09,NA,"E","150","SKEENE RIVER E"
"5084",2001,12,"SKEENE RIVER",NA,NA,NA,0.07,NA,"O","149","SKEENE RIVER O"
"5085",2002,12,"SKEENE RIVER",NA,NA,NA,0.12,NA,"E","150","SKEENE RIVER E"
"5086",2003,12,"SKEENE RIVER",NA,NA,NA,0.21,NA,"O","149","SKEENE RIVER O"
"5087",2004,12,"SKEENE RIVER",NA,NA,NA,0.06,NA,"E","150","SKEENE RIVER E"
"5088",2005,12,"SKEENE RIVER",NA,NA,NA,0.05,NA,"O","149","SKEENE RIVER O"
"5089",2006,12,"SKEENE RIVER",NA,NA,NA,0.08,NA,"E","150","SKEENE RIVER E"
"5090",2007,12,"SKEENE RIVER",NA,NA,NA,0.02,NA,"O","149","SKEENE RIVER O"
"5091",2008,12,"SKEENE RIVER",NA,NA,NA,0.03,NA,"E","150","SKEENE RIVER E"
"5092",2009,12,"SKEENE RIVER",NA,NA,NA,0.06,NA,"O","149","SKEENE RIVER O"
"5093",2010,12,"SKEENE RIVER",NA,NA,NA,0.11,NA,"E","150","SKEENE RIVER E"
"5094",2011,12,"SKEENE RIVER",NA,NA,NA,0.32,NA,"O","149","SKEENE RIVER O"
"5095",2012,12,"SKEENE RIVER",NA,NA,NA,0.01,NA,"E","150","SKEENE RIVER E"
"5096",2013,12,"SKEENE RIVER",NA,NA,NA,0.07,NA,"O","149","SKEENE RIVER O"
"5097",2014,12,"SKEENE RIVER",NA,NA,NA,0.09,NA,"E","150","SKEENE RIVER E"
"5098",2015,12,"SKEENE RIVER",NA,NA,NA,0.01,NA,"O","149","SKEENE RIVER O"
"5099",2016,12,"SKEENE RIVER",NA,NA,NA,0.01,NA,"E","150","SKEENE RIVER E"
"5100",2017,12,"SKEENE RIVER",NA,NA,NA,NA,NA,"O","149","SKEENE RIVER O"
"5101",1950,12,"SONGHEES CREEK",NA,NA,NA,NA,NA,"E","152","SONGHEES CREEK E"
"5102",1951,12,"SONGHEES CREEK",NA,NA,NA,NA,NA,"O","151","SONGHEES CREEK O"
"5103",1952,12,"SONGHEES CREEK",NA,NA,1041.66666666667,NA,NA,"E","152","SONGHEES CREEK E"
"5104",1953,12,"SONGHEES CREEK",400,NA,NA,NA,NA,"O","151","SONGHEES CREEK O"
"5105",1954,12,"SONGHEES CREEK",750,1041.66666666667,1666.66666666667,0.28,0.798507696217772,"E","152","SONGHEES CREEK E"
"5106",1955,12,"SONGHEES CREEK",200,NA,NA,NA,NA,"O","151","SONGHEES CREEK O"
"5107",1956,12,"SONGHEES CREEK",750,1666.66666666667,3947.36842105263,0.55,1.66073120682165,"E","152","SONGHEES CREEK E"
"5108",1957,12,"SONGHEES CREEK",750,NA,476.190476190476,NA,-0.454255272277596,"O","151","SONGHEES CREEK O"
"5109",1958,12,"SONGHEES CREEK",1500,3947.36842105263,975.609756097561,0.62,-0.430157720698536,"E","152","SONGHEES CREEK E"
"5110",1959,12,"SONGHEES CREEK",200,476.190476190476,500,0.58,0.916290731874155,"O","151","SONGHEES CREEK O"
"5111",1960,12,"SONGHEES CREEK",400,975.609756097561,7142.85714285714,0.59,2.88240358824699,"E","152","SONGHEES CREEK E"
"5112",1961,12,"SONGHEES CREEK",200,500,153.061224489796,0.6,-0.267479365134261,"O","151","SONGHEES CREEK O"
"5113",1962,12,"SONGHEES CREEK",3500,7142.85714285714,8139.53488372093,0.51,0.843970070294529,"E","152","SONGHEES CREEK E"
"5114",1963,12,"SONGHEES CREEK",75,153.061224489796,120.967741935484,0.51,0.478035800943,"O","151","SONGHEES CREEK O"
"5115",1964,12,"SONGHEES CREEK",3500,8139.53488372093,5357.14285714286,0.57,0.425667815425684,"E","152","SONGHEES CREEK E"
"5116",1965,12,"SONGHEES CREEK",75,120.967741935484,NA,0.38,NA,"O","151","SONGHEES CREEK O"
"5117",1966,12,"SONGHEES CREEK",1500,5357.14285714286,12068.9655172414,0.72,2.08517221638882,"E","152","SONGHEES CREEK E"
"5118",1967,12,"SONGHEES CREEK",NA,NA,37.3134328358209,0.66,NA,"O","151","SONGHEES CREEK O"
"5119",1968,12,"SONGHEES CREEK",3500,12068.9655172414,606.060606060606,0.71,-1.75353825640786,"E","152","SONGHEES CREEK E"
"5120",1969,12,"SONGHEES CREEK",25,37.3134328358209,NA,0.33,NA,"O","151","SONGHEES CREEK O"
"5121",1970,12,"SONGHEES CREEK",200,606.060606060606,3673.4693877551,0.67,2.91057446521368,"E","152","SONGHEES CREEK E"
"5122",1971,12,"SONGHEES CREEK",NA,NA,72.7272727272727,0.39,NA,"O","151","SONGHEES CREEK O"
"5123",1972,12,"SONGHEES CREEK",1800,3673.4693877551,6976.74418604651,0.51,1.35479569406052,"E","152","SONGHEES CREEK E"
"5124",1973,12,"SONGHEES CREEK",40,72.7272727272727,NA,0.45,NA,"O","151","SONGHEES CREEK O"
"5125",1974,12,"SONGHEES CREEK",3000,6976.74418604651,11290.3225806452,0.57,1.3253336613302,"E","152","SONGHEES CREEK E"
"5126",1975,12,"SONGHEES CREEK",NA,NA,NA,0.3,NA,"O","151","SONGHEES CREEK O"
"5127",1976,12,"SONGHEES CREEK",3500,11290.3225806452,5000,0.69,0.356674943938732,"E","152","SONGHEES CREEK E"
"5128",1977,12,"SONGHEES CREEK",NA,NA,NA,0.59,NA,"O","151","SONGHEES CREEK O"
"5129",1978,12,"SONGHEES CREEK",2300,5000,NA,0.54,NA,"E","152","SONGHEES CREEK E"
"5130",1979,12,"SONGHEES CREEK",NA,NA,NA,0.57,NA,"O","151","SONGHEES CREEK O"
"5131",1980,12,"SONGHEES CREEK",NA,NA,400,0.45,NA,"E","152","SONGHEES CREEK E"
"5132",1981,12,"SONGHEES CREEK",NA,NA,175.438596491228,0.42,NA,"O","151","SONGHEES CREEK O"
"5133",1982,12,"SONGHEES CREEK",300,400,NA,0.25,NA,"E","152","SONGHEES CREEK E"
"5134",1983,12,"SONGHEES CREEK",100,175.438596491228,20,0.43,-1.6094379124341,"O","151","SONGHEES CREEK O"
"5135",1984,12,"SONGHEES CREEK",NA,NA,NA,0.38,NA,"E","152","SONGHEES CREEK E"
"5136",1985,12,"SONGHEES CREEK",10,20,NA,0.5,NA,"O","151","SONGHEES CREEK O"
"5137",1986,12,"SONGHEES CREEK",NA,NA,NA,0.26,NA,"E","152","SONGHEES CREEK E"
"5138",1987,12,"SONGHEES CREEK",NA,NA,NA,0.44,NA,"O","151","SONGHEES CREEK O"
"5139",1988,12,"SONGHEES CREEK",NA,NA,1348.31460674157,0.26,NA,"E","152","SONGHEES CREEK E"
"5140",1989,12,"SONGHEES CREEK",NA,NA,NA,0.68,NA,"O","151","SONGHEES CREEK O"
"5141",1990,12,"SONGHEES CREEK",1200,1348.31460674157,NA,0.11,NA,"E","152","SONGHEES CREEK E"
"5142",1991,12,"SONGHEES CREEK",NA,NA,NA,0.48,NA,"O","151","SONGHEES CREEK O"
"5143",1992,12,"SONGHEES CREEK",NA,NA,NA,0.27,NA,"E","152","SONGHEES CREEK E"
"5144",1993,12,"SONGHEES CREEK",NA,NA,55.5555555555556,0.46,NA,"O","151","SONGHEES CREEK O"
"5145",1994,12,"SONGHEES CREEK",NA,NA,412.371134020619,0.14,NA,"E","152","SONGHEES CREEK E"
"5146",1995,12,"SONGHEES CREEK",30,55.5555555555556,615.384615384615,0.46,3.02105008153828,"O","151","SONGHEES CREEK O"
"5147",1996,12,"SONGHEES CREEK",400,412.371134020619,NA,0.03,NA,"E","152","SONGHEES CREEK E"
"5148",1997,12,"SONGHEES CREEK",400,615.384615384615,NA,0.35,NA,"O","151","SONGHEES CREEK O"
"5149",1998,12,"SONGHEES CREEK",NA,NA,NA,0.05,NA,"E","152","SONGHEES CREEK E"
"5150",1999,12,"SONGHEES CREEK",NA,NA,NA,0.01,NA,"O","151","SONGHEES CREEK O"
"5151",2000,12,"SONGHEES CREEK",NA,NA,NA,0.09,NA,"E","152","SONGHEES CREEK E"
"5152",2001,12,"SONGHEES CREEK",NA,NA,NA,0.07,NA,"O","151","SONGHEES CREEK O"
"5153",2002,12,"SONGHEES CREEK",NA,NA,NA,0.12,NA,"E","152","SONGHEES CREEK E"
"5154",2003,12,"SONGHEES CREEK",NA,NA,NA,0.21,NA,"O","151","SONGHEES CREEK O"
"5155",2004,12,"SONGHEES CREEK",NA,NA,NA,0.06,NA,"E","152","SONGHEES CREEK E"
"5156",2005,12,"SONGHEES CREEK",NA,NA,NA,0.05,NA,"O","151","SONGHEES CREEK O"
"5157",2006,12,"SONGHEES CREEK",NA,NA,NA,0.08,NA,"E","152","SONGHEES CREEK E"
"5158",2007,12,"SONGHEES CREEK",NA,NA,NA,0.02,NA,"O","151","SONGHEES CREEK O"
"5159",2008,12,"SONGHEES CREEK",NA,NA,NA,0.03,NA,"E","152","SONGHEES CREEK E"
"5160",2009,12,"SONGHEES CREEK",NA,NA,NA,0.06,NA,"O","151","SONGHEES CREEK O"
"5161",2010,12,"SONGHEES CREEK",NA,NA,NA,0.11,NA,"E","152","SONGHEES CREEK E"
"5162",2011,12,"SONGHEES CREEK",NA,NA,NA,0.32,NA,"O","151","SONGHEES CREEK O"
"5163",2012,12,"SONGHEES CREEK",NA,NA,NA,0.01,NA,"E","152","SONGHEES CREEK E"
"5164",2013,12,"SONGHEES CREEK",NA,NA,NA,0.07,NA,"O","151","SONGHEES CREEK O"
"5165",2014,12,"SONGHEES CREEK",NA,NA,NA,0.09,NA,"E","152","SONGHEES CREEK E"
"5166",2015,12,"SONGHEES CREEK",NA,NA,NA,0.01,NA,"O","151","SONGHEES CREEK O"
"5167",2016,12,"SONGHEES CREEK",NA,NA,NA,0.01,NA,"E","152","SONGHEES CREEK E"
"5168",2017,12,"SONGHEES CREEK",NA,NA,NA,NA,NA,"O","151","SONGHEES CREEK O"
"5169",1950,12,"STRANBY RIVER",NA,NA,NA,NA,NA,"E","154","STRANBY RIVER E"
"5170",1951,12,"STRANBY RIVER",NA,NA,NA,NA,NA,"O","153","STRANBY RIVER O"
"5171",1952,12,"STRANBY RIVER",NA,NA,10416.6666666667,NA,NA,"E","154","STRANBY RIVER E"
"5172",1953,12,"STRANBY RIVER",NA,NA,NA,NA,NA,"O","153","STRANBY RIVER O"
"5173",1954,12,"STRANBY RIVER",7500,10416.6666666667,16666.6666666667,0.28,0.798507696217772,"E","154","STRANBY RIVER E"
"5174",1955,12,"STRANBY RIVER",3500,NA,NA,NA,NA,"O","153","STRANBY RIVER O"
"5175",1956,12,"STRANBY RIVER",7500,16666.6666666667,19736.8421052632,0.55,0.967584026261705,"E","154","STRANBY RIVER E"
"5176",1957,12,"STRANBY RIVER",3500,NA,NA,NA,NA,"O","153","STRANBY RIVER O"
"5177",1958,12,"STRANBY RIVER",7500,19736.8421052632,3658.53658536585,0.62,-0.717839793150317,"E","154","STRANBY RIVER E"
"5178",1959,12,"STRANBY RIVER",NA,NA,1875,0.58,NA,"O","153","STRANBY RIVER O"
"5179",1960,12,"STRANBY RIVER",1500,3658.53658536585,NA,0.59,NA,"E","154","STRANBY RIVER E"
"5180",1961,12,"STRANBY RIVER",750,1875,NA,0.6,NA,"O","153","STRANBY RIVER O"
"5181",1962,12,"STRANBY RIVER",NA,NA,NA,0.51,NA,"E","154","STRANBY RIVER E"
"5182",1963,12,"STRANBY RIVER",NA,NA,NA,0.51,NA,"O","153","STRANBY RIVER O"
"5183",1964,12,"STRANBY RIVER",NA,NA,267857.142857143,0.57,NA,"E","154","STRANBY RIVER E"
"5184",1965,12,"STRANBY RIVER",NA,NA,NA,0.38,NA,"O","153","STRANBY RIVER O"
"5185",1966,12,"STRANBY RIVER",75000,267857.142857143,258620.689655172,0.72,1.23787435600162,"E","154","STRANBY RIVER E"
"5186",1967,12,"STRANBY RIVER",NA,NA,298.507462686567,0.66,NA,"O","153","STRANBY RIVER O"
"5187",1968,12,"STRANBY RIVER",75000,258620.689655172,227272.727272727,0.71,1.10866262452161,"E","154","STRANBY RIVER E"
"5188",1969,12,"STRANBY RIVER",200,298.507462686567,40.9836065573771,0.33,-1.58514521986506,"O","153","STRANBY RIVER O"
"5189",1970,12,"STRANBY RIVER",75000,227272.727272727,48979.5918367347,0.67,-0.4260843953109,"E","154","STRANBY RIVER E"
"5190",1971,12,"STRANBY RIVER",25,40.9836065573771,727.272727272727,0.39,3.3704257229954,"O","153","STRANBY RIVER O"
"5191",1972,12,"STRANBY RIVER",24000,48979.5918367347,6976.74418604651,0.51,-1.23547147138531,"E","154","STRANBY RIVER E"
"5192",1973,12,"STRANBY RIVER",400,727.272727272727,571.428571428571,0.45,0.356674943938732,"O","153","STRANBY RIVER O"
"5193",1974,12,"STRANBY RIVER",3000,6976.74418604651,4838.70967741935,0.57,0.478035800943,"E","154","STRANBY RIVER E"
"5194",1975,12,"STRANBY RIVER",400,571.428571428571,NA,0.3,NA,"O","153","STRANBY RIVER O"
"5195",1976,12,"STRANBY RIVER",1500,4838.70967741935,NA,0.69,NA,"E","154","STRANBY RIVER E"
"5196",1977,12,"STRANBY RIVER",NA,NA,NA,0.59,NA,"O","153","STRANBY RIVER O"
"5197",1978,12,"STRANBY RIVER",NA,NA,6363.63636363636,0.54,NA,"E","154","STRANBY RIVER E"
"5198",1979,12,"STRANBY RIVER",NA,NA,NA,0.57,NA,"O","153","STRANBY RIVER O"
"5199",1980,12,"STRANBY RIVER",3500,6363.63636363636,NA,0.45,NA,"E","154","STRANBY RIVER E"
"5200",1981,12,"STRANBY RIVER",NA,NA,175.438596491228,0.42,NA,"O","153","STRANBY RIVER O"
"5201",1982,12,"STRANBY RIVER",NA,NA,NA,0.25,NA,"E","154","STRANBY RIVER E"
"5202",1983,12,"STRANBY RIVER",100,175.438596491228,NA,0.43,NA,"O","153","STRANBY RIVER O"
"5203",1984,12,"STRANBY RIVER",NA,NA,NA,0.38,NA,"E","154","STRANBY RIVER E"
"5204",1985,12,"STRANBY RIVER",NA,NA,NA,0.5,NA,"O","153","STRANBY RIVER O"
"5205",1986,12,"STRANBY RIVER",NA,NA,67.5675675675676,0.26,NA,"E","154","STRANBY RIVER E"
"5206",1987,12,"STRANBY RIVER",NA,NA,NA,0.44,NA,"O","153","STRANBY RIVER O"
"5207",1988,12,"STRANBY RIVER",50,67.5675675675676,112.359550561798,0.26,0.809680996815897,"E","154","STRANBY RIVER E"
"5208",1989,12,"STRANBY RIVER",NA,NA,NA,0.68,NA,"O","153","STRANBY RIVER O"
"5209",1990,12,"STRANBY RIVER",100,112.359550561798,NA,0.11,NA,"E","154","STRANBY RIVER E"
"5210",1991,12,"STRANBY RIVER",NA,NA,NA,0.48,NA,"O","153","STRANBY RIVER O"
"5211",1992,12,"STRANBY RIVER",NA,NA,116.279069767442,0.27,NA,"E","154","STRANBY RIVER E"
"5212",1993,12,"STRANBY RIVER",NA,NA,185.185185185185,0.46,NA,"O","153","STRANBY RIVER O"
"5213",1994,12,"STRANBY RIVER",100,116.279069767442,13402.0618556701,0.14,4.89799365794029,"E","154","STRANBY RIVER E"
"5214",1995,12,"STRANBY RIVER",100,185.185185185185,307.692307692308,0.46,1.1239300966524,"O","153","STRANBY RIVER O"
"5215",1996,12,"STRANBY RIVER",13000,13402.0618556701,2421.05263157895,0.03,-1.68074694013888,"E","154","STRANBY RIVER E"
"5216",1997,12,"STRANBY RIVER",200,307.692307692308,NA,0.35,NA,"O","153","STRANBY RIVER O"
"5217",1998,12,"STRANBY RIVER",2300,2421.05263157895,NA,0.05,NA,"E","154","STRANBY RIVER E"
"5218",1999,12,"STRANBY RIVER",NA,NA,NA,0.01,NA,"O","153","STRANBY RIVER O"
"5219",2000,12,"STRANBY RIVER",NA,NA,NA,0.09,NA,"E","154","STRANBY RIVER E"
"5220",2001,12,"STRANBY RIVER",NA,NA,NA,0.07,NA,"O","153","STRANBY RIVER O"
"5221",2002,12,"STRANBY RIVER",NA,NA,NA,0.12,NA,"E","154","STRANBY RIVER E"
"5222",2003,12,"STRANBY RIVER",NA,NA,NA,0.21,NA,"O","153","STRANBY RIVER O"
"5223",2004,12,"STRANBY RIVER",NA,NA,NA,0.06,NA,"E","154","STRANBY RIVER E"
"5224",2005,12,"STRANBY RIVER",NA,NA,NA,0.05,NA,"O","153","STRANBY RIVER O"
"5225",2006,12,"STRANBY RIVER",NA,NA,NA,0.08,NA,"E","154","STRANBY RIVER E"
"5226",2007,12,"STRANBY RIVER",NA,NA,NA,0.02,NA,"O","153","STRANBY RIVER O"
"5227",2008,12,"STRANBY RIVER",NA,NA,NA,0.03,NA,"E","154","STRANBY RIVER E"
"5228",2009,12,"STRANBY RIVER",NA,NA,NA,0.06,NA,"O","153","STRANBY RIVER O"
"5229",2010,12,"STRANBY RIVER",NA,NA,NA,0.11,NA,"E","154","STRANBY RIVER E"
"5230",2011,12,"STRANBY RIVER",NA,NA,NA,0.32,NA,"O","153","STRANBY RIVER O"
"5231",2012,12,"STRANBY RIVER",NA,NA,NA,0.01,NA,"E","154","STRANBY RIVER E"
"5232",2013,12,"STRANBY RIVER",NA,NA,NA,0.07,NA,"O","153","STRANBY RIVER O"
"5233",2014,12,"STRANBY RIVER",NA,NA,NA,0.09,NA,"E","154","STRANBY RIVER E"
"5234",2015,12,"STRANBY RIVER",NA,NA,NA,0.01,NA,"O","153","STRANBY RIVER O"
"5235",2016,12,"STRANBY RIVER",NA,NA,NA,0.01,NA,"E","154","STRANBY RIVER E"
"5236",2017,12,"STRANBY RIVER",NA,NA,NA,NA,NA,"O","153","STRANBY RIVER O"
"5237",1950,12,"SUTHERLAND RIVER",NA,NA,NA,NA,NA,"E","156","SUTHERLAND RIVER E"
"5238",1951,12,"SUTHERLAND RIVER",NA,NA,NA,NA,NA,"O","155","SUTHERLAND RIVER O"
"5239",1952,12,"SUTHERLAND RIVER",NA,NA,NA,NA,NA,"E","156","SUTHERLAND RIVER E"
"5240",1953,12,"SUTHERLAND RIVER",NA,NA,NA,NA,NA,"O","155","SUTHERLAND RIVER O"
"5241",1954,12,"SUTHERLAND RIVER",NA,NA,NA,0.28,NA,"E","156","SUTHERLAND RIVER E"
"5242",1955,12,"SUTHERLAND RIVER",NA,NA,NA,NA,NA,"O","155","SUTHERLAND RIVER O"
"5243",1956,12,"SUTHERLAND RIVER",NA,NA,NA,0.55,NA,"E","156","SUTHERLAND RIVER E"
"5244",1957,12,"SUTHERLAND RIVER",NA,NA,NA,NA,NA,"O","155","SUTHERLAND RIVER O"
"5245",1958,12,"SUTHERLAND RIVER",NA,NA,NA,0.62,NA,"E","156","SUTHERLAND RIVER E"
"5246",1959,12,"SUTHERLAND RIVER",NA,NA,NA,0.58,NA,"O","155","SUTHERLAND RIVER O"
"5247",1960,12,"SUTHERLAND RIVER",NA,NA,NA,0.59,NA,"E","156","SUTHERLAND RIVER E"
"5248",1961,12,"SUTHERLAND RIVER",NA,NA,NA,0.6,NA,"O","155","SUTHERLAND RIVER O"
"5249",1962,12,"SUTHERLAND RIVER",NA,NA,NA,0.51,NA,"E","156","SUTHERLAND RIVER E"
"5250",1963,12,"SUTHERLAND RIVER",NA,NA,NA,0.51,NA,"O","155","SUTHERLAND RIVER O"
"5251",1964,12,"SUTHERLAND RIVER",NA,NA,NA,0.57,NA,"E","156","SUTHERLAND RIVER E"
"5252",1965,12,"SUTHERLAND RIVER",NA,NA,NA,0.38,NA,"O","155","SUTHERLAND RIVER O"
"5253",1966,12,"SUTHERLAND RIVER",NA,NA,NA,0.72,NA,"E","156","SUTHERLAND RIVER E"
"5254",1967,12,"SUTHERLAND RIVER",NA,NA,NA,0.66,NA,"O","155","SUTHERLAND RIVER O"
"5255",1968,12,"SUTHERLAND RIVER",NA,NA,NA,0.71,NA,"E","156","SUTHERLAND RIVER E"
"5256",1969,12,"SUTHERLAND RIVER",NA,NA,NA,0.33,NA,"O","155","SUTHERLAND RIVER O"
"5257",1970,12,"SUTHERLAND RIVER",NA,NA,NA,0.67,NA,"E","156","SUTHERLAND RIVER E"
"5258",1971,12,"SUTHERLAND RIVER",NA,NA,NA,0.39,NA,"O","155","SUTHERLAND RIVER O"
"5259",1972,12,"SUTHERLAND RIVER",NA,NA,NA,0.51,NA,"E","156","SUTHERLAND RIVER E"
"5260",1973,12,"SUTHERLAND RIVER",NA,NA,NA,0.45,NA,"O","155","SUTHERLAND RIVER O"
"5261",1974,12,"SUTHERLAND RIVER",NA,NA,NA,0.57,NA,"E","156","SUTHERLAND RIVER E"
"5262",1975,12,"SUTHERLAND RIVER",NA,NA,NA,0.3,NA,"O","155","SUTHERLAND RIVER O"
"5263",1976,12,"SUTHERLAND RIVER",NA,NA,NA,0.69,NA,"E","156","SUTHERLAND RIVER E"
"5264",1977,12,"SUTHERLAND RIVER",NA,NA,NA,0.59,NA,"O","155","SUTHERLAND RIVER O"
"5265",1978,12,"SUTHERLAND RIVER",NA,NA,NA,0.54,NA,"E","156","SUTHERLAND RIVER E"
"5266",1979,12,"SUTHERLAND RIVER",NA,NA,NA,0.57,NA,"O","155","SUTHERLAND RIVER O"
"5267",1980,12,"SUTHERLAND RIVER",NA,NA,NA,0.45,NA,"E","156","SUTHERLAND RIVER E"
"5268",1981,12,"SUTHERLAND RIVER",NA,NA,NA,0.42,NA,"O","155","SUTHERLAND RIVER O"
"5269",1982,12,"SUTHERLAND RIVER",NA,NA,NA,0.25,NA,"E","156","SUTHERLAND RIVER E"
"5270",1983,12,"SUTHERLAND RIVER",NA,NA,NA,0.43,NA,"O","155","SUTHERLAND RIVER O"
"5271",1984,12,"SUTHERLAND RIVER",NA,NA,NA,0.38,NA,"E","156","SUTHERLAND RIVER E"
"5272",1985,12,"SUTHERLAND RIVER",NA,NA,NA,0.5,NA,"O","155","SUTHERLAND RIVER O"
"5273",1986,12,"SUTHERLAND RIVER",NA,NA,NA,0.26,NA,"E","156","SUTHERLAND RIVER E"
"5274",1987,12,"SUTHERLAND RIVER",NA,NA,NA,0.44,NA,"O","155","SUTHERLAND RIVER O"
"5275",1988,12,"SUTHERLAND RIVER",NA,NA,NA,0.26,NA,"E","156","SUTHERLAND RIVER E"
"5276",1989,12,"SUTHERLAND RIVER",NA,NA,NA,0.68,NA,"O","155","SUTHERLAND RIVER O"
"5277",1990,12,"SUTHERLAND RIVER",NA,NA,NA,0.11,NA,"E","156","SUTHERLAND RIVER E"
"5278",1991,12,"SUTHERLAND RIVER",NA,NA,NA,0.48,NA,"O","155","SUTHERLAND RIVER O"
"5279",1992,12,"SUTHERLAND RIVER",NA,NA,NA,0.27,NA,"E","156","SUTHERLAND RIVER E"
"5280",1993,12,"SUTHERLAND RIVER",NA,NA,NA,0.46,NA,"O","155","SUTHERLAND RIVER O"
"5281",1994,12,"SUTHERLAND RIVER",NA,NA,NA,0.14,NA,"E","156","SUTHERLAND RIVER E"
"5282",1995,12,"SUTHERLAND RIVER",NA,NA,NA,0.46,NA,"O","155","SUTHERLAND RIVER O"
"5283",1996,12,"SUTHERLAND RIVER",NA,NA,NA,0.03,NA,"E","156","SUTHERLAND RIVER E"
"5284",1997,12,"SUTHERLAND RIVER",NA,NA,NA,0.35,NA,"O","155","SUTHERLAND RIVER O"
"5285",1998,12,"SUTHERLAND RIVER",NA,NA,NA,0.05,NA,"E","156","SUTHERLAND RIVER E"
"5286",1999,12,"SUTHERLAND RIVER",NA,NA,NA,0.01,NA,"O","155","SUTHERLAND RIVER O"
"5287",2000,12,"SUTHERLAND RIVER",NA,NA,NA,0.09,NA,"E","156","SUTHERLAND RIVER E"
"5288",2001,12,"SUTHERLAND RIVER",NA,NA,NA,0.07,NA,"O","155","SUTHERLAND RIVER O"
"5289",2002,12,"SUTHERLAND RIVER",NA,NA,NA,0.12,NA,"E","156","SUTHERLAND RIVER E"
"5290",2003,12,"SUTHERLAND RIVER",NA,NA,NA,0.21,NA,"O","155","SUTHERLAND RIVER O"
"5291",2004,12,"SUTHERLAND RIVER",NA,NA,NA,0.06,NA,"E","156","SUTHERLAND RIVER E"
"5292",2005,12,"SUTHERLAND RIVER",NA,NA,NA,0.05,NA,"O","155","SUTHERLAND RIVER O"
"5293",2006,12,"SUTHERLAND RIVER",NA,NA,NA,0.08,NA,"E","156","SUTHERLAND RIVER E"
